   n      γ   method      k    fgs         rp         rd       time
 500   0.60     IAPG    551   1004   3.68e-15   9.99e-02   00:00:37
 500   0.60       IR    591   1117   4.11e-15   1.00e-01   00:00:44
 500   0.70     IAPG    567   1007   3.60e-15   1.00e-01   00:00:37
 500   0.70       IR    598   1093   4.07e-15   9.99e-02   00:00:42
 500   0.80     IAPG    570   1011   3.84e-15   9.98e-02   00:00:40
 500   0.80       IR    607   1173   3.92e-15   9.97e-02   00:00:52
 500   0.90     IAPG    578   1014   3.83e-15   9.97e-02   00:00:39
 500   0.90       IR    617   1146   3.75e-15   9.98e-02   00:00:53
 500   1.00     IAPG    589   1050   3.92e-15   9.97e-02   00:00:42
 500   1.00       IR    626   1227   4.06e-15   9.99e-02   00:00:49
 600   0.10     IAPG    370    428   4.70e-15   9.97e-02   00:00:29
 600   0.10       IR    377    709   4.47e-15   1.00e-01   00:00:51
 600   0.20     IAPG    562    921   4.39e-15   9.98e-02   00:00:54
 600   0.20       IR    586   1085   4.41e-15   9.97e-02   00:01:30
 600   0.30     IAPG    602   1044   4.20e-15   9.98e-02   00:01:08
 600   0.30       IR    629   1089   4.21e-15   9.99e-02   00:01:24
 600   0.40     IAPG    622   1100   4.06e-15   9.98e-02   00:01:04
 600   0.40       IR    662   1132   4.40e-15   9.98e-02   00:01:16
 600   0.50     IAPG    649   1137   4.26e-15   1.00e-01   00:01:07
 600   0.50       IR    683   1263   4.51e-15   1.00e-01   00:01:27
 600   0.60     IAPG    660   1163   4.27e-15   9.97e-02   00:01:14
 600   0.60       IR    696   1282   4.47e-15   1.00e-01   00:01:20
 600   0.70     IAPG    669   1183   4.21e-15   9.98e-02   00:01:08
 600   0.70       IR    710   1333   4.40e-15   9.98e-02   00:01:21
 600   0.80     IAPG    683   1192   4.20e-15   9.99e-02   00:01:10
 600   0.80       IR    729   1368   4.50e-15   9.98e-02   00:01:24
 600   0.90     IAPG    693   1197   4.20e-15   9.97e-02   00:01:11
 600   0.90       IR    733   1388   3.97e-15   9.97e-02   00:01:26
 600   1.00     IAPG    700   1222   4.37e-15   9.97e-02   00:01:12
 600   1.00       IR    739   1439   4.28e-15   9.99e-02   00:01:48
 700   0.10     IAPG    506    624   5.22e-15   1.00e-01   00:00:56
 700   0.10       IR    521    979   4.88e-15   1.00e-01   00:01:38
 700   0.20     IAPG    647   1040   4.80e-15   1.00e-01   00:01:37
 700   0.20       IR    673   1251   4.51e-15   9.99e-02   00:02:13
 700   0.30     IAPG    692   1204   4.74e-15   9.99e-02   00:01:59
 700   0.30       IR    725   1217   4.43e-15   9.99e-02   00:02:20
 700   0.40     IAPG    719   1243   4.45e-15   9.98e-02   00:02:10
 700   0.40       IR    762   1424   4.43e-15   9.99e-02   00:02:20
 700   0.50     IAPG    740   1278   4.74e-15   9.99e-02   00:01:49
 700   0.50       IR    786   1380   4.74e-15   9.98e-02   00:02:06
 700   0.60     IAPG    756   1315   4.51e-15   1.00e-01   00:01:54
 700   0.60       IR    803   1524   4.49e-15   9.98e-02   00:02:23
 700   0.70     IAPG    774   1326   4.67e-15   9.98e-02   00:02:20
 700   0.70       IR    819   1511   4.70e-15   9.99e-02   00:02:30
 700   0.80     IAPG    783   1362   4.75e-15   9.99e-02   00:02:47
 700   0.80       IR    828   1540   4.72e-15   9.99e-02   00:03:16
 700   0.90     IAPG    792   1369   4.57e-15   9.98e-02   00:02:40
 700   0.90       IR    842   1624   4.60e-15   9.99e-02   00:03:20
 700   1.00     IAPG    803   1375   4.53e-15   9.98e-02   00:02:46
 700   1.00       IR    855   1661   4.66e-15   9.99e-02   00:03:31
 800   0.10     IAPG    667    908   5.14e-15   9.98e-02   00:01:58
 800   0.10       IR    692   1286   4.91e-15   9.98e-02   00:03:01
 800   0.20     IAPG    729   1198   4.63e-15   1.00e-01   00:02:29
 800   0.20       IR    762   1421   5.10e-15   9.99e-02   00:03:06
 800   0.30     IAPG    783   1339   5.03e-15   9.98e-02   00:02:50
 800   0.30       IR    822   1347   4.58e-15   9.92e-02   00:02:56
 800   0.40     IAPG    817   1397   5.00e-15   9.99e-02   00:02:47
 800   0.40       IR    862   1573   5.25e-15   9.98e-02   00:03:18
 800   0.50     IAPG    840   1443   4.88e-15   9.99e-02   00:02:56
 800   0.50       IR    887   1639   5.02e-15   9.99e-02   00:03:30
 800   0.60     IAPG    862   1469   4.88e-15   9.98e-02   00:02:56
 800   0.60       IR    910   1700   4.92e-15   1.00e-01   00:03:33
 800   0.70     IAPG    875   1505   4.74e-15   9.98e-02   00:03:03
 800   0.70       IR    923   1747   4.99e-15   9.98e-02   00:03:42
 800   0.80     IAPG    882   1518   4.94e-15   1.00e-01   00:03:06
 800   0.80       IR    943   1805   5.00e-15   9.98e-02   00:03:51
 800   0.90     IAPG    899   1535   4.90e-15   1.00e-01   00:03:06
 800   0.90       IR    960   1840   4.85e-15   9.98e-02   00:03:54
 800   1.00     IAPG    915   1553   4.61e-15   9.99e-02   00:03:23
 800   1.00       IR    971   1884   4.88e-15   9.98e-02   00:04:28
 900   0.10     IAPG    756   1089   4.81e-15   1.00e-01   00:03:28
 900   0.10       IR    782   1440   5.28e-15   9.99e-02   00:04:42
 900   0.20     IAPG    814   1348   5.37e-15   1.00e-01   00:04:12
 900   0.20       IR    850   1473   5.13e-15   1.00e-01   00:04:47
 900   0.30     IAPG    872   1490   5.20e-15   9.99e-02   00:04:39
 900   0.30       IR    919   1495   5.34e-15   1.00e-01   00:04:58
 900   0.40     IAPG    908   1545   5.30e-15   1.00e-01   00:04:46
 900   0.40       IR    961   1788   5.38e-15   9.99e-02   00:05:44
 900   0.50     IAPG    939   1591   5.24e-15   9.99e-02   00:04:57
 900   0.50       IR    994   1839   5.10e-15   9.98e-02   00:05:45
