  n     γ  method     k    fgs        rp        rd    time
500  0.50    IAPG   553   7133  4.00e-15  1.00e-01   260.5
500  0.50      IR   573   1072  3.80e-15  9.97e-02    40.5
500  0.50     IER   669   4672  3.98e-15  9.99e-02   175.9
500  0.60    IAPG   569   7549  3.80e-15  9.98e-02   279.0
500  0.60      IR   591   1117  4.11e-15  1.00e-01    42.4
500  0.60     IER   679   4781  3.93e-15  9.98e-02   182.3
500  0.70    IAPG   578   7455  3.85e-15  9.98e-02   275.4
500  0.70      IR   598   1093  4.07e-15  9.99e-02    41.5
500  0.70     IER   700   6730  3.98e-15  9.98e-02   256.2
500  0.80    IAPG   585   8618  3.91e-15  9.99e-02   318.7
500  0.80      IR   607   1173  3.92e-15  9.97e-02    44.5
500  0.80     IER   705   5664  3.97e-15  9.98e-02   215.5
500  0.90    IAPG   594   8562  3.56e-15  9.99e-02   318.1
500  0.90      IR   617   1146  3.75e-15  9.98e-02    43.6
500  0.90     IER   711   4724  4.09e-15  9.99e-02   180.1
500  1.00    IAPG   604   9962  3.90e-15  9.99e-02   369.4
500  1.00      IR   626   1227  4.06e-15  9.99e-02    46.7
500  1.00     IER   721   3796  3.90e-15  9.98e-02   144.9
600  0.10    IAPG   366   2919  4.47e-15  9.96e-02   185.3
600  0.10      IR   377    709  4.47e-15  1.00e-01    46.6
600  0.10     IER   434   1102  4.67e-15  9.98e-02    72.0
600  0.20    IAPG   567   9471  4.34e-15  9.97e-02   576.4
600  0.20      IR   586   1085  4.41e-15  9.97e-02    68.4
600  0.20     IER   678   3109  4.59e-15  9.99e-02   194.5
600  0.30    IAPG   610   8744  4.02e-15  9.99e-02   525.9
600  0.30      IR   629   1089  4.21e-15  9.99e-02    67.2
600  0.30     IER   723   4896  4.04e-15  9.98e-02   303.7
600  0.40    IAPG   636   9164  4.14e-15  9.99e-02   526.4
600  0.40      IR   662   1132  4.40e-15  9.98e-02    66.8
600  0.40     IER   750   6461  4.16e-15  9.99e-02   383.7
600  0.50    IAPG   660  10852  4.05e-15  9.99e-02   629.3
600  0.50      IR   683   1263  4.51e-15  1.00e-01    76.1
600  0.50     IER   777   5335  4.05e-15  9.99e-02   318.3
600  0.60    IAPG   673  12647  4.28e-15  9.98e-02   751.9
600  0.60      IR   696   1282  4.47e-15  1.00e-01    78.5
600  0.60     IER   792   5446  3.95e-15  9.99e-02   332.7
600  0.70    IAPG   685  12607  4.26e-15  9.99e-02   758.0
600  0.70      IR   710   1333  4.40e-15  9.98e-02    82.5
600  0.70     IER   801   7079  3.96e-15  9.98e-02   439.5
600  0.80    IAPG   703   9818  4.32e-15  9.97e-02   576.0
600  0.80      IR   729   1368  4.50e-15  9.98e-02    82.9
600  0.80     IER   811   5087  4.20e-15  9.98e-02   307.4
600  0.90    IAPG   708  10843  4.10e-15  9.99e-02   640.3
600  0.90      IR   733   1388  3.97e-15  9.97e-02    84.3
600  0.90     IER   832   4203  4.21e-15  9.98e-02   257.1
600  1.00    IAPG   715  10698  4.18e-15  9.99e-02   645.6
600  1.00      IR   739   1439  4.28e-15  9.99e-02    89.0
600  1.00     IER   840   5726  4.32e-15  9.99e-02   354.7
700  0.10    IAPG   498   6468  4.90e-15  9.98e-02   571.7
700  0.10      IR   521    979  4.88e-15  1.00e-01    89.4
700  0.10     IER   586   1859  4.85e-15  9.98e-02   169.5
700  0.20    IAPG   651  10581  4.49e-15  9.98e-02   896.6
700  0.20      IR   673   1251  4.51e-15  9.99e-02   109.0
700  0.20     IER   762   3394  4.88e-15  1.00e-01   298.6
700  0.30    IAPG   703  12948  4.72e-15  1.00e-01  1094.2
700  0.30      IR   725   1217  4.43e-15  9.99e-02   105.7
700  0.30     IER   819   6842  4.38e-15  9.98e-02   596.5
700  0.40    IAPG   733  11215  4.35e-15  1.00e-01   951.6
700  0.40      IR   762   1424  4.43e-15  9.99e-02   124.1
700  0.40     IER   847   5549  4.36e-15  9.98e-02   485.3
700  0.50    IAPG   756  11574  4.44e-15  9.99e-02   987.7
700  0.50      IR   786   1380  4.74e-15  9.98e-02   121.6
700  0.50     IER   871   6919  4.42e-15  9.99e-02   606.9
700  0.60    IAPG   773  13455  4.59e-15  9.99e-02  1160.8
700  0.60      IR   803   1524  4.49e-15  9.98e-02   135.3
700  0.60     IER   888   7032  4.35e-15  9.98e-02   626.5
700  0.70    IAPG   791  15117  4.43e-15  9.99e-02  1301.1
700  0.70      IR   819   1511  4.70e-15  9.99e-02   133.9
700  0.70     IER   911   8809  4.46e-15  9.99e-02   783.1
700  0.80    IAPG   800  15366  4.50e-15  9.99e-02  1335.4
700  0.80      IR   828   1540  4.72e-15  9.99e-02   137.7
700  0.80     IER   923   8837  4.56e-15  9.98e-02   792.4
700  0.90    IAPG   813  15936  4.49e-15  9.99e-02  1369.9
700  0.90      IR   842   1624  4.60e-15  9.99e-02   142.8
700  0.90     IER   932   9432  4.41e-15  9.99e-02   829.4
700  1.00    IAPG   824  17285  4.53e-15  9.98e-02  1509.8
700  1.00      IR   855   1661  4.66e-15  9.99e-02   148.7
700  1.00     IER   941   9716  4.56e-15  9.99e-02   873.2
800  0.10    IAPG   670  11408  5.15e-15  9.97e-02  1420.6
800  0.10      IR   692   1286  4.91e-15  9.98e-02   165.3
800  0.10     IER   756   3108  4.92e-15  1.00e-01   400.4
800  0.20    IAPG   738  14087  4.74e-15  9.98e-02  1682.3
800  0.20      IR   762   1421  5.10e-15  9.99e-02   177.2
800  0.20     IER   848   3697  4.84e-15  9.99e-02   454.4
800  0.30    IAPG   794  12437  4.64e-15  9.99e-02  1542.9
800  0.30      IR   822   1347  4.58e-15  9.92e-02   173.1
800  0.30     IER   907   6835  4.85e-15  9.98e-02   878.1
800  0.40    IAPG   832  14689  4.69e-15  9.99e-02  2041.1
800  0.40      IR   862   1573  5.25e-15  9.98e-02   199.0
800  0.40     IER   947   7783  4.45e-15  9.99e-02   995.7
800  0.50    IAPG   856  16092  4.74e-15  1.00e-01  1985.1
800  0.50      IR   887   1639  5.02e-15  9.99e-02   208.1
800  0.50     IER   970   7028  4.64e-15  9.99e-02   893.4
800  0.60    IAPG   879  18385  4.57e-15  9.99e-02  2242.0
800  0.60      IR   910   1700  4.92e-15  1.00e-01   213.7
800  0.60     IER   995   9012  4.91e-15  1.00e-01  1131.0
800  0.70    IAPG   892  18666  4.73e-15  9.98e-02  2296.6
800  0.70      IR   923   1747  4.99e-15  9.98e-02   225.2
800  0.70     IER  1013   9210  4.96e-15  1.00e-01  1188.9
800  0.80    IAPG   905  13242  4.84e-15  1.00e-01  1651.0
800  0.80      IR   943   1805  5.00e-15  9.98e-02   231.3
800  0.80     IER  1023   8011  4.72e-15  9.98e-02  1032.9
800  0.90    IAPG   927  14950  4.79e-15  9.98e-02  1892.3
800  0.90      IR   960   1840  4.85e-15  9.98e-02   238.7
800  0.90     IER  1036  10180  4.62e-15  9.99e-02  1324.2
800  1.00    IAPG   937  16054  4.83e-15  9.99e-02  2026.2
800  1.00      IR   971   1884  4.88e-15  9.98e-02   243.9
800  1.00     IER  1056  11607  4.75e-15  9.99e-02  1502.1
